tweet_id,tweet_text
1,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…
2,"World celebrates “World Brotherhood Day” on the 11th September every year, the date Swami Vivekananda delivered his… https://t.co/5Om09GKfO8"
3,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…
4,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…
5,@DrJoeAbah @AishaYesufu Except Osama bin laden was shuttling from Afghanistan to Pakistan whilst shekau is a few th… https://t.co/cNINVk190o
6,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…
7,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…
8,"RT @DrJoeAbah: @AishaYesufu My sister, America is the most powerful country in the world. It took them 10 years to find Osama Bin Laden, bu…"
9,"RT @DrJoeAbah: @AishaYesufu My sister, America is the most powerful country in the world. It took them 10 years to find Osama Bin Laden, bu…"
10,"RT @DrJoeAbah: @AishaYesufu My sister, America is the most powerful country in the world. It took them 10 years to find Osama Bin Laden, bu…"
11,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…
12,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…
13,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…
14,"RT @DrJoeAbah: @AishaYesufu My sister, America is the most powerful country in the world. It took them 10 years to find Osama Bin Laden, bu…"
15,"RT @McguireScotty: Muslim cleric says jihad is now ""mandatory"" against India over Jammu and Kashmir

A FIREBRAND cleric with links to Osama…"
16,"RT @SameeraKhan: In the same tweet, you’re claiming that Pakistan (Kashmir, Balochistan, Khyber Pakhtunkhwa, Sindh, etc.) is an integral pa…"
