tweet_id,tweet_text,polarity
1,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…,negative
2,"World celebrates “World Brotherhood Day” on the 11th September every year, the date Swami Vivekananda delivered his… https://t.co/5Om09GKfO8",neutral
3,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…,negative
4,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…,negative
5,@DrJoeAbah @AishaYesufu Except Osama bin laden was shuttling from Afghanistan to Pakistan whilst shekau is a few th… https://t.co/cNINVk190o,negative
6,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…,negative
7,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…,negative
8,"RT @DrJoeAbah: @AishaYesufu My sister, America is the most powerful country in the world. It took them 10 years to find Osama Bin Laden, bu…",positive
9,"RT @DrJoeAbah: @AishaYesufu My sister, America is the most powerful country in the world. It took them 10 years to find Osama Bin Laden, bu…",positive
10,"RT @DrJoeAbah: @AishaYesufu My sister, America is the most powerful country in the world. It took them 10 years to find Osama Bin Laden, bu…",positive
11,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…,negative
12,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…,negative
13,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…,negative
14,"RT @DrJoeAbah: @AishaYesufu My sister, America is the most powerful country in the world. It took them 10 years to find Osama Bin Laden, bu…",positive
15,"RT @McguireScotty: Muslim cleric says jihad is now ""mandatory"" against India over Jammu and Kashmir

A FIREBRAND cleric with links to Osama…",neutral
16,"RT @SameeraKhan: In the same tweet, you’re claiming that Pakistan (Kashmir, Balochistan, Khyber Pakhtunkhwa, Sindh, etc.) is an integral pa…",neutral
17,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…,negative
18,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…,negative
19,"RT @DrJoeAbah: @AishaYesufu My sister, America is the most powerful country in the world. It took them 10 years to find Osama Bin Laden, bu…",positive
20,"RT @DrJoeAbah: @AishaYesufu My sister, America is the most powerful country in the world. It took them 10 years to find Osama Bin Laden, bu…",positive
